จำนวนประชากรกลางปี จำแนกตามเพศ ภาค และจังหวัด (จากกระทรวงสาธารณสุข) พ.ศ. 2555-2566 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หน่วย: คน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2555,,,2556,,,2557,,,2558,,,2559,,,2560,,,2561,,,2562,,,2563,,,2564,,,2565,,,2566,,
ภาค,จังหวัด,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง
,บึงกาฬ,"410,124","206,790","203,334","414,425","208,881","205,544","417,401","210,426","206,975","419,328","211,429","207,899","420,571","211,985","208,586","421,741","212,311","209,430","422,859","212,538","210,321","423,326","212,528","210,798","422,321","211,868","210,453","421,247","211,171","210,076","421,042","210,892","210,150","163,195","210,323","209,928"
,หนองบัวลำภู,"503,811","253,123","250,688","506,104","254,257","251,847","508,001","255,136","252,865","509,283","255,550","253,733","510,013","255,603","254,410","510,761","255,646","255,115","511,407","255,621","255,786","511,929","255,687","256,242","510,569","254,802","255,767","508,643","253,541","255,102","508,016","253,048","254,968","325,448","252,346","254,554"
,ขอนแก่น,"1,770,441","877,186","893,255","1,778,236","880,476","897,760","1,785,852","883,206","902,646","1,792,717","885,746","906,971","1,797,236","886,957","910,279","1,801,037","887,823","913,214","1,802,880","887,837","915,043","1,801,144","886,175","914,969","1,795,275","882,505","912,770","1,789,131","878,568","910,563","1,784,046","875,266","908,780","267,444","871,591","906,619"
,อุดรธานี,"1,552,703","775,070","777,633","1,560,631","778,838","781,793","1,567,132","781,765","785,367","1,570,352","782,471","787,881","1,571,882","782,313","789,569","1,575,173","783,290","791,883","1,578,403","784,056","794,347","1,579,461","783,510","795,951","1,569,863","777,542","792,321","1,559,860","771,402","788,458","1,557,282","768,924","788,358","370,960","765,895","787,114"
,เลย,"627,354","316,688","310,666","630,997","318,344","312,653","633,359","319,397","313,962","634,675","320,026","314,649","635,341","320,225","315,116","636,772","320,710","316,062","638,250","321,202","317,048","638,879","321,306","317,573","636,829","319,916","316,913","634,694","318,451","316,243","633,990","317,910","316,080","274,763","316,699","315,485"
,หนองคาย,"511,155","255,814","255,341","513,691","256,988","256,703","516,102","258,121","257,981","516,374","258,105","258,269","515,845","257,640","258,205","516,746","257,782","258,964","517,343","257,720","259,623","517,462","257,602","259,860","515,081","256,097","258,984","512,346","254,292","258,054","511,509","253,551","257,958","412,180","252,640","257,378"
,มหาสารคาม,"942,442","466,649","475,793","950,397","469,169","481,228","958,116","471,662","486,454","962,357","472,929","489,428","963,557","473,003","490,554","962,750","472,554","490,196","962,473","472,292","490,181","962,210","471,940","490,270","957,462","469,375","488,087","950,242","465,733","484,509","945,678","463,410","482,268","940,443","460,944","479,499"
,ร้อยเอ็ด,"1,306,814","651,776","655,038","1,308,765","652,774","655,991","1,308,638","652,832","655,806","1,307,826","652,100","655,726","1,307,198","651,327","655,871","1,306,993","650,881","656,112","1,306,530","650,080","656,450","1,305,100","648,621","656,479","1,300,771","645,601","655,170","1,296,151","642,249","653,902","1,292,363","639,621","652,742","1,286,706","636,287","650,419"
,กาฬสินธุ์,"983,370","489,850","493,520","984,557","490,346","494,211","984,469","490,329","494,140","984,750","490,103","494,647","984,579","489,384","495,195","984,914","489,193","495,721","984,901","488,715","496,186","983,550","487,507","496,043","979,425","484,814","494,611","975,474","482,065","493,409","972,899","480,247","492,652","969,096","478,166","490,930"
,สกลนคร,"1,126,263","562,875","563,388","1,131,749","565,531","566,218","1,136,466","567,914","568,552","1,140,272","569,671","570,601","1,143,514","570,933","572,581","1,146,831","572,154","574,677","1,149,943","573,174","576,769","1,151,847","573,633","578,214","1,149,133","571,706","577,427","1,145,549","569,192","576,357","1,144,634","568,295","576,339","1,142,740","567,183","575,557"
,นครพนม,"706,559","352,704","353,855","709,605","354,268","355,337","712,100","355,526","356,574","713,546","356,195","357,351","714,504","356,696","357,808","715,833","357,347","358,486","716,782","357,715","359,067","717,326","357,906","359,420","716,529","357,397","359,132","715,482","356,576","358,906","715,169","356,168","359,001","713,740","355,358","358,382"
,มุกดาหาร,"341,725","171,381","170,344","343,586","172,346","171,240","345,159","173,097","172,062","346,279","173,548","172,731","347,118","173,982","173,136","348,204","174,473","173,731","349,265","174,869","174,396","350,094","175,218","174,876","349,210","174,647","174,563","348,324","174,096","174,228","348,576","174,153","174,423","348,416","174,096","174,320"
ภาคใต้,ภาคใต้,"9,016,021","4,449,684","4,566,337","9,095,789","4,486,711","4,609,078","9,169,962","4,521,852","4,648,110","9,225,013","4,547,514","4,677,499","9,264,605","4,564,425","4,700,180","9,314,537","4,587,065","4,727,472","9,366,264","4,611,001","4,755,263","9,410,187","4,631,287","4,778,900","9,416,494","4,631,482","4,785,012","9,415,741","4,627,940","4,787,801","9,430,420","4,633,359","4,797,061","9,442,142","4,637,820","4,804,322"
,นครศรีธรรมราช,"1,530,479","759,073","771,406","1,538,365","762,404","775,961","1,544,935","765,283","779,652","1,549,163","767,221","781,942","1,551,148","768,088","783,060","1,553,363","769,008","784,355","1,556,075","769,722","786,353","1,558,159","770,011","788,148","1,553,351","766,953","786,398","1,547,100","763,342","783,758","1,544,277","761,953","782,324","1,540,041","760,124","779,917"
