id,region,province,sex,value,year
337,กลาง,นครปฐม,ชาย,425851,2557
338,กลาง,สมุทรสาคร,ชาย,253970,2557
339,กลาง,สมุทรสงคราม,ชาย,93306,2557
340,กลาง,เพชรบุรี,ชาย,228782,2557
341,กลาง,ประจวบคีรีขันธ์,ชาย,259635,2557
342,กลาง,สมุทรปราการ,หญิง,650347,2557
343,กลาง,นนทบุรี,หญิง,619002,2557
344,กลาง,ปทุมธานี,หญิง,558173,2557
345,กลาง,พระนครศรีอยุธยา,หญิง,414562,2557
346,กลาง,อ่างทอง,หญิง,147431,2557
347,กลาง,ลพบุรี,หญิง,377765,2557
348,กลาง,สิงห์บุรี,หญิง,111141,2557
349,กลาง,ชัยนาท,หญิง,172104,2557
350,กลาง,สระบุรี,หญิง,319009,2557
351,กลาง,ชลบุรี,หญิง,717171,2557
352,กลาง,ระยอง,หญิง,338863,2557
353,กลาง,จันทบุรี,หญิง,267393,2557
354,กลาง,ตราด,หญิง,112453,2557
355,กลาง,ฉะเชิงเทรา,หญิง,353307,2557
356,กลาง,ปราจีนบุรี,หญิง,241117,2557
357,กลาง,นครนายก,หญิง,129522,2557
358,กลาง,สระแก้ว,หญิง,274434,2557
359,กลาง,ราชบุรี,หญิง,436543,2557
360,กลาง,กาญจนบุรี,หญิง,421753,2557
361,กลาง,สุพรรณบุรี,หญิง,437653,2557
362,กลาง,นครปฐม,หญิง,460777,2557
363,กลาง,สมุทรสาคร,หญิง,271702,2557
364,กลาง,สมุทรสงคราม,หญิง,100847,2557
365,กลาง,เพชรบุรี,หญิง,243857,2557
366,กลาง,ประจวบคีรีขันธ์,หญิง,263054,2557
367,เหนือ,เชียงใหม่,ชาย,814190,2557
368,เหนือ,ลำพูน,ชาย,196751,2557
369,เหนือ,ลำปาง,ชาย,370544,2557
370,เหนือ,อุตรดิตถ์,ชาย,226574,2557
371,เหนือ,แพร่,ชาย,221047,2557
372,เหนือ,น่าน,ชาย,240718,2557
373,เหนือ,พะเยา,ชาย,237331,2557
374,เหนือ,เชียงราย,ชาย,592713,2557
375,เหนือ,แม่ฮ่องสอน,ชาย,126522,2557
376,เหนือ,นครสวรรค์,ชาย,525249,2557
377,เหนือ,อุทัยธานี,ชาย,162141,2557
378,เหนือ,กำแพงเพชร,ชาย,362042,2557
379,เหนือ,ตาก,ชาย,270503,2557
380,เหนือ,สุโขทัย,ชาย,293860,2557
381,เหนือ,พิษณุโลก,ชาย,421145,2557
382,เหนือ,พิจิตร,ชาย,268444,2557
383,เหนือ,เพชรบูรณ์,ชาย,494051,2557
384,เหนือ,เชียงใหม่,หญิง,858396,2557
385,เหนือ,ลำพูน,หญิง,208617,2557
386,เหนือ,ลำปาง,หญิง,383393,2557
387,เหนือ,อุตรดิตถ์,หญิง,234124,2557
388,เหนือ,แพร่,หญิง,234032,2557
389,เหนือ,น่าน,หญิง,237370,2557
390,เหนือ,พะเยา,หญิง,248268,2557
391,เหนือ,เชียงราย,หญิง,613466,2557
392,เหนือ,แม่ฮ่องสอน,หญิง,120842,2557
393,เหนือ,นครสวรรค์,หญิง,547700,2557
394,เหนือ,อุทัยธานี,หญิง,167717,2557
395,เหนือ,กำแพงเพชร,หญิง,367034,2557
396,เหนือ,ตาก,หญิง,265450,2557
397,เหนือ,สุโขทัย,หญิง,308727,2557
398,เหนือ,พิษณุโลก,หญิง,436537,2557
399,เหนือ,พิจิตร,หญิง,279755,2557
400,เหนือ,เพชรบูรณ์,หญิง,501051,2557
401,ตะวันออกเฉียงเหนือ,นครราชสีมา,ชาย,1292424,2557
402,ตะวันออกเฉียงเหนือ,บุรีรัมย์,ชาย,786533,2557
403,ตะวันออกเฉียงเหนือ,สุรินทร์,ชาย,694864,2557
404,ตะวันออกเฉียงเหนือ,ศรีสะเกษ,ชาย,731658,2557
405,ตะวันออกเฉียงเหนือ,อุบลราชธานี,ชาย,923502,2557
406,ตะวันออกเฉียงเหนือ,ยโสธร,ชาย,271122,2557
407,ตะวันออกเฉียงเหนือ,ชัยภูมิ,ชาย,564981,2557
408,ตะวันออกเฉียงเหนือ,อำนาจเจริญ,ชาย,187631,2557
409,ตะวันออกเฉียงเหนือ,บึงกาฬ,ชาย,210426,2557
410,ตะวันออกเฉียงเหนือ,หนองบัวลำภู,ชาย,255136,2557
411,ตะวันออกเฉียงเหนือ,ขอนแก่น,ชาย,883206,2557
412,ตะวันออกเฉียงเหนือ,อุดรธานี,ชาย,781765,2557
413,ตะวันออกเฉียงเหนือ,เลย,ชาย,319397,2557
414,ตะวันออกเฉียงเหนือ,หนองคาย,ชาย,258121,2557
415,ตะวันออกเฉียงเหนือ,มหาสารคาม,ชาย,471662,2557
416,ตะวันออกเฉียงเหนือ,ร้อยเอ็ด,ชาย,652832,2557
417,ตะวันออกเฉียงเหนือ,กาฬสินธุ์,ชาย,490329,2557
418,ตะวันออกเฉียงเหนือ,สกลนคร,ชาย,567914,2557
419,ตะวันออกเฉียงเหนือ,นครพนม,ชาย,355526,2557
420,ตะวันออกเฉียงเหนือ,มุกดาหาร,ชาย,173097,2557
421,ตะวันออกเฉียงเหนือ,นครราชสีมา,หญิง,1322917,2557
422,ตะวันออกเฉียงเหนือ,บุรีรัมย์,หญิง,789810,2557
423,ตะวันออกเฉียงเหนือ,สุรินทร์,หญิง,695051,2557
424,ตะวันออกเฉียงเหนือ,ศรีสะเกษ,หญิง,731962,2557
425,ตะวันออกเฉียงเหนือ,อุบลราชธานี,หญิง,917094,2557
426,ตะวันออกเฉียงเหนือ,ยโสธร,หญิง,269175,2557
427,ตะวันออกเฉียงเหนือ,ชัยภูมิ,หญิง,571405,2557
428,ตะวันออกเฉียงเหนือ,อำนาจเจริญ,หญิง,187408,2557
